Runoff(m3/s)
2.86
3.2
2.97
3.14
2.97
2.66
2.35
2.41
2.15
1.98
2.21
2.35
2.1
1.95
1.93
1.9
1.56
1.9
2.07
3.65
4.33
4.33
5.38
4.62
3.79
3.43
3.14
3.48
3.62
3.43
3.14
3.09
3.2
3.14
0
0
3.14
2.92
2.8
2.66
2.61
2.69
3.43
4.67
5.1
4.33
3.62
3.31
6.26
9.54
9.49
8.61
7.28
6.77
6.37
5.8
5.44
5.8
6
8.3
9.71
10.73
10.08
9.4
8.55
8.78
9.09
8.78
8.67
8.3
7.73
7.28
6.97
6.63
6.43
6.29
6.14
6
6
6.14
6
5.95
6.71
7.28
7.36
7.16
6.71
6.23
5.89
